City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-pierre,-21.3393,55.4781,24.76,68,100,3.09,RE,1697598114
1,port mathurin,-19.6833,63.4167,23.74,80,33,4.28,MU,1697598114
2,kudahuvadhoo,2.6708,72.8944,27.83,74,21,4.96,MV,1697598031
3,anadyr,64.75,177.4833,-5.72,62,20,8.0,RU,1697598115
4,lazaro cardenas,17.9583,-102.2,25.72,88,100,0.38,MX,1697598116
5,egilsstadir,65.2653,-14.3948,2.95,93,75,3.09,IS,1697598116
6,lihue,21.9789,-159.3672,28.58,74,11,1.87,US,1697598117
7,hamilton,39.1834,-84.5333,9.84,87,71,1.79,US,1697598117
8,blackmans bay,-43.0167,147.3167,22.51,41,18,2.76,AU,1697598118
9,pudozh,61.8099,36.5345,4.41,72,84,5.81,RU,1697598118
10,adamstown,-25.066,-130.1015,22.15,88,100,3.04,PN,1697598118
11,port-aux-francais,-49.35,70.2167,2.5,75,99,5.89,TF,1697598119
12,dryden,49.7833,-92.7503,11.16,66,100,3.6,CA,1697598119
13,fale old settlement,-9.3852,-171.2468,28.4,73,18,2.95,TK,1697598119
14,hawaiian paradise park,19.5933,-154.9731,26.73,82,75,3.09,US,1697598119
15,nazarabad,35.9521,50.6075,9.45,77,25,1.27,IR,1697598120
16,margaret river,-33.95,115.0667,17.93,62,26,5.34,AU,1697598120
17,ilulissat,69.2167,-51.1,-8.99,73,100,3.09,GL,1697598121
18,nieuw amsterdam,5.8833,-55.0833,27.79,83,28,2.68,SR,1697598122
19,albany,42.6001,-73.9662,10.91,89,19,1.85,US,1697598001
20,ixtapa,20.7,-105.2,24.64,92,100,1.17,MX,1697598122
21,lebu,-37.6167,-73.65,10.41,90,7,4.84,CL,1697598123
22,lib,8.3122,167.3766,28.48,72,12,3.23,MH,1697598124
23,palmas,-10.2128,-48.3603,25.93,65,0,2.06,BR,1697597915
24,edinburgh of the seven seas,-37.0676,-12.3116,12.63,74,100,7.64,SH,1697598124
25,titao,13.7667,-2.0667,29.27,49,99,3.18,BF,1697598125
26,port elizabeth,-33.918,25.5701,19.06,76,0,0.89,ZA,1697598125
27,enewetak,11.3474,162.3373,28.6,76,42,7.08,MH,1697598125
28,susuman,62.7833,148.1667,-13.9,62,28,0.45,RU,1697598126
29,ingeniero jacobacci,-41.3427,-69.5448,14.11,22,0,3.86,AR,1697598126
30,iron river,46.0927,-88.6423,1.42,76,100,2.01,US,1697598126
31,sheopur,25.6667,76.7,24.92,60,0,1.32,IN,1697598126
32,pakuranga,-36.8833,174.9167,22.4,64,20,6.17,NZ,1697598127
